norm_name,github_login,decision,source,note,decided_at
luqman saeed,Luqmansaeed,reject,auto,bio=Just a Web Developer contradicts Payara technical writer; 0 followers; no JVM repos,2026-06-27
bowen feng,thebowenfeng,reject,auto,student at UMelb no JVM repos no Google connection,2026-06-27
dan kim,dandelin,reject,auto,common name; research scientist at TwelveLabs no JVM repos,2026-06-27
ian botsford,ianbotsf,confirm,auto,unique name + AWS company matches Amazon affiliation,2026-06-27
lena reinhard,lenareinhard,confirm,auto,bio says Speaker; unique name; sole candidate,2026-06-27
meike felicia hammer,meikefeliciah,confirm,auto,very distinctive full name exact match sole candidate,2026-06-27
modeste assiongbon,rblmdst,confirm,auto,unique name; bio says Speaker+French content creator,2026-06-27
pierre andrieux,winderslide008,reject,auto,3 same-name cands; no Capgemini signal; common name,2026-06-27
lionel armanet,lionelarmanet,confirm,auto,login encodes name; distinctive name; single real cand,2026-06-27
jerome baton,JeromeBaton,confirm,auto,login encodes name exactly; single candidate,2026-06-27
frederic bisson,Zigazou,confirm,auto,61 followers; exact name match; single candidate,2026-06-27
caroline boyer,CarolineBoyer,reject,auto,company @usnistgov contradicts Sopra Steria France,2026-06-27
geoffrey beausire,geobeau,confirm,auto,login encodes name; Criteo context fits; distinctive name,2026-06-27
luis blanche,LuisBlanche,reject,auto,cand luisblanche-mirakl encodes Mirakl aff better,2026-06-27
julien botella,julienbotella,confirm,auto,login encodes name; single candidate,2026-06-27
philippe bourgau,philou,confirm,auto,118 followers; refactoring coach bio matches speaker,2026-06-27
fanny bouton,Fanny1000110,confirm,auto,OVHcloud company+bio; consistent with tech speaker,2026-06-27
audren burlot,AudrenHellowork,confirm,auto,login encodes name+company; distinctive name,2026-06-27
maxime clement,maxime-clem,reject,auto,5 same-name cands; no Docker signal; common name,2026-06-27
manuel camargo,SirLouen,reject,auto,WordPress/Vozitel profile; conflicts with Theodo Fintech,2026-06-27
mathieu cans,cansmathieu,confirm,auto,login encodes name; single candidate,2026-06-27
jeremy chauvin,jeremychauvin,confirm,auto,login encodes name; single candidate,2026-06-27
houssem chihoub,hecdbx,reject,auto,login opaque; hchihoub is clearer name encoding,2026-06-27
luc chmielowski,lucchmielowski,confirm,auto,login encodes name; very distinctive surname,2026-06-27
nahel chokairi,Anorien63,confirm,auto,distinctive name; suffix 63=Puy-de-Dome fits Michelin HQ,2026-06-27
benoit colin,Benoit382,reject,auto,3 same-name cands; no Bedrock signal; common name,2026-06-27
sylvain dedieu,sdedieu,confirm,auto,bio explicitly says Conference speaker; login encodes name,2026-06-27
rachel dubois,RDUBOIS75,confirm,auto,login encodes R DUBOIS 75 (Paris); Spotify is tech,2026-06-27
laurent duclay,caa-lduclay,confirm,auto,login prefix caa=Credit Agricole Assurances matches aff exactly,2026-06-27
pablo farey,Pabloulou,confirm,auto,distinctive name; single candidate,2026-06-27
sebastien ferrer,sebferrer,confirm,auto,org ovh matches OVHcloud aff; bio says Speaker,2026-06-27
christophe furmaniak,looztra,confirm,auto,company @dktunited=Decathlon matches aff; strong corroboration,2026-06-27
jerome gauthier,AngelQC,reject,auto,login opaque; no Sopra Steria signal; common name,2026-06-27
denis germain,zwindler,confirm,auto,163 followers; DevOps/tech blogger; distinctive handle,2026-06-27
nicolas giraud,niconoe-,reject,auto,very common name; Aareon vs onepoint; 5 cands no signal,2026-06-27
yann gloriau,yannGloriau,confirm,auto,login encodes name; single candidate,2026-06-27
peter goron,pgoron,confirm,auto,login encodes name; Criteo fits; single useful cand,2026-06-27
maxime gosselin,maximegosselin,reject,auto,Quebec First Nations dev bio; conflicts with Oodrive FR,2026-06-27
jordane grenat,jgrenat,confirm,auto,login encodes name; distinctive name,2026-06-27
thomas jouve,Thomasimov,reject,auto,nephrologist at Grenoble Univ Hospital vs Sopra Steria IT,2026-06-27
dimitrios kafetzis,Dimitrios-Kafetzis,confirm,auto,very distinctive Greek name; login encodes it,2026-06-27
henry lagarde,tolares,reject,auto,login opaque; @MistralAi vs Datadog aff mismatch,2026-06-27
yannick lambruschi,ylambruschi,confirm,auto,login encodes name; distinctive surname,2026-06-27
sebastien lecacheur,slecache,confirm,auto,login encodes name; distinctive surname,2026-06-27
samuel lefebvre,SamLefebvre,reject,auto,web dev bio (React/VueJS/Unity) conflicts with Shodo Java; common name,2026-06-27
pablo lopez,PabloLopez23,reject,auto,very common Spanish name; cybersec vs WeScale DevOps,2026-06-27
mathilde lorrain,malorrain,confirm,auto,login encodes name; single candidate,2026-06-27
fabien martin,Kwalish,reject,auto,login opaque; Founders Lair vs Everial; common name,2026-06-27
arnaud mary,ArnaudMary,confirm,auto,login encodes name directly; single candidate,2026-06-27
antoine mayer,mayerantoine,confirm,auto,login encodes name last-first; single candidate,2026-06-27
simon mercier,smercier,reject,auto,Mapgears Canada vs Worldline FR; common name; 5 cands,2026-06-27
anthony maffert,anthony-maffert-wmx,confirm,auto,wmx=Winamax in login matches affiliation exactly,2026-06-27
barbara martin,Babishula,reject,auto,login opaque; no Michelin signal; common name,2026-06-27
emeric martineau,emeric-martineau,confirm,auto,login encodes name; distinctive name,2026-06-27
jerome masson,Sphinxgaia,confirm,auto,Kubernetes/DevOps bio strongly fits WeScale speaker,2026-06-27
guillaume mathieu,gmathieu,reject,auto,Gusto US vs Wescale FR; common name; 5 cands,2026-06-27
guillaume mazollier,gmiam,confirm,auto,distinctive surname; single candidate,2026-06-27
florian meuleman,FlorianMeuleman,confirm,auto,login encodes name; EFREI student profile may be old pre-Takima,2026-06-27
kim adeline miguel,kimadeline,confirm,auto,very distinctive name; login encodes first names; GitHub employee,2026-06-27
francois mockers,mockersf,confirm,auto,346 followers; distinctive name; login encodes name,2026-06-27
jeremy nadal,Jeremynadalmirakl,confirm,auto,login encodes full name; mirakl=likely prev employer,2026-06-27
bertrand nau,bnau,confirm,auto,login encodes name; single candidate,2026-06-27
olivier poncet,ponceto,confirm,auto,120 followers; OSS/tech speaker bio; login encodes name,2026-06-27
johan rouve,ooga,reject,auto,login opaque; TrustCollect vs Comet aff mismatch,2026-06-27
manuel ryan,ryanthemanuel,reject,auto,GitHub name is Ryan Manuel (reversed); @cypress-io vs Swissquote,2026-06-27
yann schepens,yannschepens,confirm,auto,login encodes name directly; single candidate,2026-06-27
sarah tedjani,sarahted,confirm,auto,login encodes name; distinctive name,2026-06-27
stephane trognon,stephane-trognon,confirm,auto,login encodes name; SRE/DevOps teacher bio fits speaker,2026-06-27
matthieu vetter,Grudov,reject,auto,login opaque; no WhereWeGo signal,2026-06-27
nicolas wlodarczyk,nicolaswlo,confirm,auto,login encodes name; very distinctive surname,2026-06-27
yifang dong,YifangDONG,confirm,auto,login encodes name; distinctive name; Murex is JVM shop,2026-06-27
jerome leonard,jeromeleonard,reject,auto,StrangeBee vs CGI aff mismatch; login encodes name but co wrong,2026-06-27
stephane teyssier,yesteph,reject,auto,login opaque; no Wescale signal,2026-06-27
george argyropoulos,george-argy,reject,auto,two empty candidates same name no corroboration to distinguish,2026-06-27
evi chatzidaki,chatzidaki,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
ron dagdag,rondagdag,confirm,auto,distinctive name 111 followers tech bio primary account,2026-06-27
giota eftaxia,ggefta,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
michelle frost,michellevenables1,reject,auto,common English name 4 candidates no corroboration,2026-06-27
spyros karavanis,spyroskaravanis,confirm,auto,distinctive Greek name username is full name,2026-06-27
vasileia kourli,vkourli,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
konstantinos koutitsas,FullMetalAlchemistEMP,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
alex konig,axkng,confirm,auto,axkng abbreviates Alex Konig AWS speaker top candidate,2026-06-27
sotiris lyras,cyberrobots,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
antonis markopoulos,amarkopoulos,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
alyssa nicoll,alyssamichelle,confirm,auto,full name in profile Developer Advocate GDE 258 followers conference speaker,2026-06-27
tasos nikolaou,tase-nikol,confirm,auto,software engineer bio backend microservices fits conference speaker,2026-06-27
patroklos papapetrou,ppapapetrou76,confirm,auto,107 followers CodeHubGreece org member distinctive name,2026-06-27
vadym pinchuk,VadymPinchuk,confirm,auto,Android dev on JVM 94 followers distinctive name,2026-06-27
will sentance,WillSen,confirm,auto,768 followers bio confirms CEO Codesmith distinctive name,2026-06-27
kostas stroggylos,modernist,confirm,auto,distinctive Greek name sole candidate 25 followers,2026-06-27
menelaos zetas,menelaoszetas1990,confirm,auto,distinctive Greek name sole candidate programmer bio,2026-06-27
turhal temizer,turhaltemizer,confirm,auto,unique Turkish name; sole exact match; low follower count but name specificity sufficient,2026-06-27
alexis monville,alexismonville,confirm,auto,open-organization org is a Red Hat community project corroborating RedHat affiliation,2026-06-27
kenan sevindik,harezmi,confirm,auto,login harezmi matches affiliation Harezmi IT Solutions exactly; company shows kenansevindik.com,2026-06-27
yehonathan sharvit,viebel,confirm,auto,bio explicitly mentions Clojure/ClojureScript (JVM language); 331 followers; distinctive name,2026-06-27
gregory green,gregreen,reject,auto,astrophysicist at Max Planck Institute not a JVM developer,2026-06-27
ruben afonso,rubentnf,reject,auto,no JVM repos no AWS affiliation 9 followers no corroborating signal,2026-06-27
sergei chernov,sacher90,reject,auto,0 followers no bio no company no JVM repos insufficient evidence,2026-06-27
soham dasgupta,thesobercoder,reject,auto,multiple same-name candidates; no JVM repos; company empty (no Microsoft signal),2026-06-27
mark dirksma,funkycoding,confirm,auto,distinctive Dutch name; single candidate; Dutch conference speaker,2026-06-27
eli holderness,eli-holderness,reject,auto,bio says Anvil not The Bennett Institute; no JVM repos; contradicting affiliation,2026-06-27
remco siemonsma,Remco-testing,confirm,auto,distinctive Dutch name; single candidate; Remcoder likely personal brand vs Qirion day job,2026-06-27
peter smink,psmink,reject,auto,common Dutch surname; company SolutionWorx vs Team Rockstars IT; 0 followers; no JVM repos,2026-06-27
victor botan,Taurettt,reject,auto,bio is sustainability/networking; no JVM repos; no AD/01 signal; victor-botan-ad01 may be better,2026-06-27
andrei mihai,crunck78,reject,auto,last name Neacsu does not match; company is developerakademie not Adobe; no JVM repos,2026-06-27
alin miu,alin-miu-scoalainformala,reject,auto,empty bio; no JVM repos; no Amazon signal; scoalainformala suffix suggests unrelated coding-bootcamp account,2026-06-27
malavika balamurali,Mbala658,reject,auto,name-only match; no bio/company/jvm_repo/followers — insufficient corroboration,2026-06-27
john ceccarelli,johnceccarelli,confirm,auto,company Oracle is JVM-ecosystem company; exact name match; unique enough for Azul speaker,2026-06-27
medha chakraborty,medha209,confirm,auto,bio explicitly mentions Java; exact name match for BlackRock speaker,2026-06-27
chris corriere,ecology-chris,confirm,auto,login ecology-chris directly matches speaker affiliation Ecology Computing,2026-06-27
john coyne,iolla-net,reject,auto,common name; bio is designer/runner with no JVM signal; multiple candidates; no corroboration,2026-06-27
christopher curtin,ccurtin,reject,auto,no JVM repos; org twowordsdigital does not match ADP; no affiliation corroboration,2026-06-27
srijani dey,SrijaniTinni,reject,auto,company TCS does not match BlackRock; multiple zero-follower candidates; no JVM signal,2026-06-27
jonathon graf,JonoGraf,reject,auto,name-only match; no bio/company/jvm_repo/followers,2026-06-27
emmanuel guzman,eguzmanv,reject,auto,bio is geophysics student — wrong person; likely match is Emmax77 (Java/Oracle ACE/JUG speaker),2026-06-27
leonid igolnik,ligolnik,reject,auto,name-only match; no bio/company/jvm_repo; two identical-name candidates,2026-06-27
laurie lay,LaurieLonecrow,reject,auto,no JVM repos; no company listed despite Ippon Technologies affiliation; no corroboration,2026-06-27
martin rojas,martinrojas,reject,auto,common Spanish name; no bio/company/jvm_repo; four candidates with equal weight,2026-06-27
zoe steinkamp,zoesteinkamp,reject,auto,no bio/company/jvm_repo; ClickHouse speaker context not JVM-specific,2026-06-27
phil webb,prwebbuk,reject,auto,company Valorem Reply does not match Broadcom; Spring Boot Phil Webb is philwebb (2305 flw) not prwebbuk,2026-06-27
daneez zamangil,daneez-evity,reject,auto,name-only match; no bio/company/jvm_repo/followers; Callrail not JVM-specific,2026-06-27
robert eichenseer,RobertEichenseer,confirm,auto,"unique German name, 62 followers, both candidates Microsoft-affiliated; crafts conference broader than JVM",2026-06-27
sven eiter,sjeiter,confirm,auto,"sole candidate, adesso SE (Java-heavy shop), name uncommon enough",2026-06-27
stefan mintert,stefanmintert,confirm,auto,"sole candidate, unique German name, own consulting company; known DE tech community",2026-06-27
thomas lemberger,lembergerth,confirm,auto,sosy-lab (software research/Java tools); runner-up tlemberger is EMBO biology - wrong field,2026-06-27
janek fellien,jfellien,confirm,auto,"sole candidate, 46 followers, msmvps org confirms active tech speaker profile",2026-06-27
johannes dienst,JohannesDienst,confirm,auto,"adesso SE (Java-heavy), Mastodon bio confirms active tech community member; highest followers among three accounts",2026-06-27
sinan yildirim,sinanyil81,reject,auto,"gh name is Kasim Sinan YILDIRIM (different first name), academic institution, no JVM repos",2026-06-27
giulia maier,gimaier,confirm,auto,"unique exact name match, uncommon name, plausible login pattern (gi+maier)",2026-06-27
stefan nachtrab,st3v0rr,confirm,auto,"unique match, Software-Architect bio, @adorsys company, adorsys org",2026-06-27
clemens hubner,clemens-huebner,confirm,auto,"unique exact name match, uncommon name, single candidate",2026-06-27
carmen delgado,cldelgadop,confirm,auto,"Eclipse Foundation / @adoptium community manager, JVM-adjacent role",2026-06-27
rainald menge sonnentag,Kirodar,confirm,auto,"unique name, Senior Editor at ix-magazin/heise covering Java, ix-magazin org",2026-06-27
bernhard lowenstein,lion78at,confirm,auto,"uncommon name, single exact match candidate",2026-06-27
ingo eichhorst,ingo-eichhorst,confirm,auto,"unique name, 21 followers, Nowtilus org, dominant match",2026-06-27
daniel kocot,danielkocot,confirm,auto,"Principal Integration Architect @adorsys, docToolchain org (JVM-adjacent)",2026-06-27
benjamin wolf,programming-wolf,confirm,auto,"@innoq company + arc42 org, strong German Java community signals",2026-06-27
frederik wystup,DG1001,confirm,auto,"unique match, uncommon name, single candidate, prefer recall",2026-06-27
andreas voigt,voigtan,reject,auto,"common German name, 5 candidates, no JVM signal for top candidate",2026-06-27
sebastian sprenger,sprengr,reject,auto,"EpicGames org suggests game dev not JVM, multiple candidates with similar profiles",2026-06-27
felix medam,SputnikTea,confirm,auto,"unique match, uncommon name, single candidate, prefer recall",2026-06-27
christian heilmann,codepo8,confirm,auto,"dominant match 2796 followers, known conference speaker, exact name match",2026-06-27
benedikt werner,benediktwerner,confirm,auto,"lichess-org (Scala/JVM project), 123 followers, unique name",2026-06-27
florian sommer,fsteckel,reject,auto,"bio is Aerospace Engineer and Maker, clearly not JVM speaker, multiple ambiguous candidates",2026-06-27
thomas krieger,tom-krieger,confirm,auto,"THK IT Beratung company matches initials, IT consulting consistent with JVM speaker",2026-06-27
luis blanche,luisblanche-mirakl,confirm,auto,login encodes name+Mirakl aff; better match than LuisBlanche,2026-06-28
andres pineda,ajpinedam,reject,auto,"common name, blank company, no JVM repos, multiple candidates",2026-06-28
arvin singla,arvinsingla,reject,auto,"JavaScript-focused bio, no JVM repos, no affiliation",2026-06-28
ben dechrai,bendechrai,confirm,auto,"distinctive name, 99 followers, phpaustralia org signals tech conference speaker",2026-06-28
benoit des ligneris,bligneri,reject,auto,"company Fractional CPO/CTO mismatches ESA, only 3 followers",2026-06-28
cedric l homme,rangzen,reject,auto,"company blank, no match to Osedea, no JVM repos",2026-06-28
chad green,chadutah,reject,auto,"very common name, 3 followers, no corroboration",2026-06-28
daniel mikusa,dmikusa,confirm,auto,"distinctive name, 135 followers, cloudfoundry-samples org, dominant candidate",2026-06-28
daniel scherzer,danielscherzer,confirm,auto,"distinctive name, dominant at 34 followers vs 19/2, rwu.de = academic",2026-06-28
derick rethans,derickr,confirm,auto,"1823 followers, Xdebug creator, php org member, single unique candidate",2026-06-28
erik beaulieu,ebeaulieu-mirego,reject,auto,"company Mirego doesn't match Openmind Technologies, 0 followers",2026-06-28
etienne vezina,mrevezina,reject,auto,"bio says Heavy Industrial Mechanical Engineer, 0 followers",2026-06-28
frank boucher,fboucher,confirm,auto,"343 followers dominant, fboucheros alt account bio confirms fboucher is real",2026-06-28
heath kesler,heathkes,reject,auto,"0 followers, empty bio, no corroboration",2026-06-28
jonathan marcil,jmarcil,confirm,auto,"distinctive name, @OWASP company, 37 followers, JM International initials match",2026-06-28
jordan kasper,jakerella,confirm,auto,"dominant at 175 followers, tech community orgs (virtphp, dcjs)",2026-06-28
julian egelstaff,jegelstaff,confirm,auto,"very distinctive rare name, single candidate, 15 followers",2026-06-28
justine gehring,justine-gehring,reject,auto,"0 followers, empty bio, no corroboration",2026-06-28
karol deland,karoldeland,reject,auto,"1 follower, empty bio, company blank vs Workleap",2026-06-28
kathryn grayson nanz,kathryngraysonnanz,confirm,auto,"very distinctive full name exact match, 47 followers, dominant candidate",2026-06-28
louis beaudoin allaire,lballaire,confirm,auto,"ShareGate in profile = Workleap rebranded, name exact match",2026-06-28
marian marinov,hackman,confirm,auto,"368 followers, OpenFest org, distinctive name, dominant",2026-06-28
mathieu fillion,MatFillion,reject,auto,"company @nventive mismatches Wepoint, only 7 followers",2026-06-28
mathieu santostefano,welcoMattic,confirm,auto,"SensioLabs = Symfony company, bio says Symfony Core Team, symfony org",2026-06-28
mohamed wali,Wali-Mohamed,reject,auto,"name order reversed (Wali Mohamed vs Mohamed Wali), 13 followers, no AWS match",2026-06-28
ralf westphal,ralfw,confirm,auto,"distinctive German name, 86 followers, dominant candidate",2026-06-28
raphael rougeron,goldoraf,confirm,auto,"distinctive name, 36 followers, single candidate",2026-06-28
rob richardson,robrich,confirm,auto,"login robrich matches affiliation domain robrich.org, 489 followers",2026-06-28
rowdy rabouw,rowdyrabouw,confirm,auto,"distinctive name, 41 followers, GDE bio signals conference speaker",2026-06-28
semira allen,semiraallen21,reject,auto,"0 followers, empty bio, no corroboration",2026-06-28
shao hang he,devnetf,reject,auto,"6 followers, blank company, no match to DevFortress",2026-06-28
tamires marcal,tamiresco,reject,auto,"company USP (Sao Paulo) mismatches McGill, extra middle name in profile",2026-06-28
thibault friedrich,friedrith,confirm,auto,"distinctive name, 47 followers, single candidate, UX engineer fits speaker",2026-06-28
jonas bandi,jbandi,confirm,auto,"exact distinctive name, single candidate, 55 followers, Swiss conference",2026-06-28
joel verezhak,verejoel,confirm,auto,"rare distinctive surname, bio mentions Observability aligns with Grafana Labs",2026-06-28
johan van de wauw,johanvdw,confirm,auto,"single cand + signals: orgs=['OSGeo', 'geopython'], flw=40",2026-06-28
kristof beyls,kbeyls,confirm,auto,"single cand + signals: orgs=['llsoftsec'], flw=31",2026-06-28
jan fajerski,jan--f,confirm,auto,"corroborated: company=Red Hat, flw=33",2026-06-28
jose e marchesi,jemarch,confirm,auto,"single cand, unique name, score=1",2026-06-28
karen sandler,karensandler,confirm,auto,single cand + signals: company=Software Freedom Conservancy,2026-06-28
bjorn topel,bjoto,confirm,auto,"corroborated: has_bio, flw=54",2026-06-28
konstantina papadea,couci,confirm,auto,single cand + signals: flw=86,2026-06-28
damian poddebniak,duesee,confirm,auto,"corroborated: has_bio, orgs=['FHMS-ITS', 'modern-email'], fl",2026-06-28
mechiel lukkien,mjl-,confirm,auto,"corroborated: has_bio, flw=273",2026-06-28
benjamin cabe,kartben,confirm,auto,"corroborated: orgs=['zephyrproject-rtos'], flw=460",2026-06-28
shaun mccance,shaunix,confirm,auto,single cand + signals: company=Red Hat,2026-06-28
marcus muller,marcusmueller,confirm,auto,"corroborated: orgs=['kit-cel', 'gnuradio'], flw=179",2026-06-28
laura czajkowski,lauraczajkowski,confirm,auto,"corroborated: company=Percona, has_bio",2026-06-28
martin decky,martin-decky,confirm,auto,"corroborated: company=@HelenOS @kernkonzept , has_bio, orgs=",2026-06-28
simon phipps,webmink,confirm,auto,"corroborated: company=Meshed Insights Ltd, has_bio, orgs=['O",2026-06-28
jaron vietor,Thulinma,confirm,auto,"corroborated: company=DDVTech / Livepeer, has_bio, orgs=['Bu",2026-06-28
william jones,cr1901,confirm,auto,corroborated: flw=118,2026-06-28
yvan sraka,yvan-sraka,confirm,auto,corroborated: flw=219,2026-06-28
neal h walfield,nwalfield,confirm,auto,"single effective cand, unique name, bio=Sequoia-PGP",2026-06-28
nicole pappler,nicpappler,confirm,auto,"single cand + signals: has_bio, orgs=['OpenChain-Project']",2026-06-28
philipp ahmann,pahmann,confirm,auto,"corroborated: company=Robert Bosch GmbH, orgs=['eclipse-scor",2026-06-28
tobias bernard,bertob,confirm,auto,"corroborated: has_bio, orgs=['gnome-design-team', 'opensourc",2026-06-28
ahmad fatoum,a3f,confirm,auto,"corroborated: orgs=['barebox', 'pengutronix'], flw=155",2026-06-28
jimmy angelakos,vyruss,confirm,auto,"corroborated: company=@pgEdge, has_bio, flw=44",2026-06-28
jose d gomez r,josegomezr,confirm,auto,"corroborated: company=@SUSE , has_bio, flw=48",2026-06-28
adam litke,aglitke,confirm,auto,"corroborated: company=Red Hat, orgs=['kimchi-project', 'kube",2026-06-28
charalampos mainas,cmainas,confirm,auto,"single cand, unique name, score=1",2026-06-28
ignat korchagin,ignatk,confirm,auto,single cand + signals: flw=74,2026-06-28
christian brauner,brauner,confirm,auto,"corroborated: has_bio, orgs=['openSUSE', 'systemd'], flw=437",2026-06-28
vladislav belov,vladislavbelov,confirm,auto,"top cand dominates by flw, bio=Senior Graphics Engineer, org",2026-06-28
romain beauxis,toots,confirm,auto,"corroborated: orgs=['savonet', 'webcast'], flw=214",2026-06-28
maxime peim,maxime-peim,confirm,auto,"company=Cisco, unique name, top of 2 cands",2026-06-28
wieland lindenthal,wielinde,confirm,auto,"corroborated: company=OpenProject GmbH, has_bio, orgs=['opf'",2026-06-28
paul meyer,katexochen,confirm,auto,"corroborated: company=@amutable-systems, has_bio, orgs=['Nix",2026-06-28
ryan walker,rytwalker,confirm,auto,"corroborated: company=RVshare, has_bio, orgs=['bountiful-dev",2026-06-28
ronna steinberg,ronna-s,confirm,auto,"corroborated: orgs=['wwgberlin'], flw=115",2026-06-28
andreas k huttel,akhuettel,confirm,auto,"single cand + signals: orgs=['gentoo', 'gentoo-perl'], flw=4",2026-06-28
edward betts,EdwardBetts,confirm,auto,"corroborated: has_bio, flw=408",2026-06-28
stefan kalkowski,skalk,confirm,auto,"corroborated: company=@genodelabs , orgs=['genodelabs'], flw",2026-06-28
andriy utkin,andrey-utkin,confirm,auto,"single cand, unique name, score=1",2026-06-28
susan remmert,SusanRemm,confirm,auto,"single cand, unique name, score=0",2026-06-28
radostin stoyanov,rst0git,confirm,auto,"corroborated: orgs=['NetFPGA', 'p4lang'], flw=142",2026-06-28
lea beiermann,lbeiermann,confirm,auto,"single cand, unique name, score=0",2026-06-28
andrej rode,noc0lour,confirm,auto,"corroborated: has_bio, orgs=['gnuradio', 'asta-kit'], flw=62",2026-06-28
mauro gaspari,ilvipero,confirm,auto,"single cand, unique name, score=0",2026-06-28
alya abbott,alya,confirm,auto,corroborated: flw=170,2026-06-28
lucas kanashiro,lucaskanashiro,confirm,auto,"corroborated: company=@canonical , has_bio, orgs=['kuniri-xp",2026-06-28
ititou,ITITOU,reject,auto,"single-name speaker, ambiguous (3 cands)",2026-06-28
thierry de pauw,tdpauw,confirm,auto,"corroborated: company=ThinkingLabs, has_bio",2026-06-28
julian stirling,julianstirling,confirm,auto,"corroborated: company=Humanitarian Technology Trust, has_bio",2026-06-28
sebastian kawelke,seb-kw,confirm,auto,"corroborated: company=L3montree, orgs=['l3montree-dev']",2026-06-28
giacomo,giacomo,reject,auto,"single-name speaker, ambiguous (5 cands)",2026-06-28
nikolaj potashnikov,fiddlededee-fiddle,confirm,auto,"single cand, unique name, score=0",2026-06-28
yogesh deshpande,yogeshbdeshpande,confirm,auto,"corroborated: company=ARM, has_bio",2026-06-28
ali polatel,alip,confirm,auto,"corroborated: has_bio, flw=61",2026-06-28
james smith,loopj,confirm,auto,corroborated: flw=3691,2026-06-28
mia bajic,clytaemnestra,confirm,auto,"corroborated: orgs=['pyvec'], flw=70",2026-06-28
tilo mathes,tilorspace,confirm,auto,"corroborated: company=Research Space, has_bio",2026-06-28
terence eden,edent,confirm,auto,"corroborated: has_bio, orgs=['w3c', 'government'], flw=999",2026-06-28
babar khan,BabarZKhan,reject,auto,"common name, 5 cands, no clear winner",2026-06-28
mauro de gennaro,MauroDeGennaro,confirm,auto,"unique name, top of 2 identical cands",2026-06-28
rohit nayak,rohit-nayak-ps,confirm,auto,"corroborated: company=PlanetScale, has_bio, orgs=['vitessio'",2026-06-28
oliver smith,ollieparanoid,confirm,auto,"corroborated: has_bio, flw=70",2026-06-28
francesco pham,frankplus,confirm,auto,"corroborated: company=@Huawei, has_bio, flw=39",2026-06-28
sunny bains,sunbains,confirm,auto,"unique name, top cand exact match",2026-06-28
yash panchal,panchal-yash,reject,auto,name mismatch: speaker 'YASH PANCHAL' vs cand 'Yash',2026-06-28
niels g w serup,nqpz,confirm,auto,"corroborated: has_bio, orgs=['HIPERFIT', 'DIKU-EDU'], flw=67",2026-06-28
gianluca varisco,gvarisco,confirm,auto,corroborated: flw=224,2026-06-28
amy marrich,spotz,confirm,auto,"name matches Amy Marrich (spotz), top of 2",2026-06-28
kuniyasu suzaki,kunisuzaki,confirm,auto,single cand + signals: company=IISEC: Institute of Informati,2026-06-28
andreas tille,tillea,confirm,auto,"unique name, top of 2, established Debian contributor",2026-06-28
ariel kaiser,KaiserDragun,reject,auto,name mismatch: speaker 'Ariel Kaiser' vs cand 'Ariel Montoya,2026-06-28
kirk smith,SmithKirk,reject,auto,"common name, 5 cands, no corroboration",2026-06-28
roland meertens,rmeertens,confirm,auto,"top cand 93 flw, clearly dominant among 3 cands",2026-06-28
martin teichmann,tecki,confirm,auto,"single cand, unique name, score=1",2026-06-28
patricio whittingslow,biohazduck,confirm,auto,"corroborated: company=Stämm Vegh S.A., has_bio",2026-06-28
eloi charpentier,eckter,confirm,auto,"single cand, unique name, score=0",2026-06-28
tobias diekershoff,tobiasd,confirm,auto,"single cand, unique name, score=1",2026-06-28
danny colin,dannycolin,confirm,auto,"corroborated: has_bio, orgs=['thunderbird'], flw=75",2026-06-28
valere fedronic,BillCarsonFr,confirm,auto,"corroborated: has_bio, orgs=['matrix-org', 'element-hq'], fl",2026-06-28
johan linaker,johanlinaker,confirm,auto,"corroborated: company=@lunduniversity, has_bio",2026-06-28
michael winser,michaelwinser,confirm,auto,"single cand, unique name, score=0",2026-06-28
raphael gomes,Alphare,confirm,auto,"corroborated: company=Octobus, has_bio",2026-06-28
pierre kancir,khancyr,confirm,auto,"corroborated: has_bio, flw=128",2026-06-28
gianluca guida,glguida,confirm,auto,"corroborated: orgs=['libcpu', 'aifoundry-org'], flw=76",2026-06-28
mikel olasagasti,mikelolasagasti,confirm,auto,"unique Basque name, top of 2, 45 flw",2026-06-28
lorena goldoni,Lorygold,confirm,auto,"corroborated: company=Würth IT Italy, has_bio, flw=29",2026-06-28
antony chazapis,chazapis,confirm,auto,"corroborated: company=FORTH-ICS, orgs=['CARV-ICS-FORTH'], fl",2026-06-28
raphael odini,raphodn,confirm,auto,"corroborated: company=@betagouv @openfoodfacts, orgs=['openf",2026-06-28
denver gingerich,ossguy,confirm,auto,"single cand, unique name, score=1",2026-06-28
pablo del arco,pablodelarco,confirm,auto,"corroborated: company=OpenNebula, has_bio",2026-06-28
josh lee,jleedev,confirm,auto,"corroborated: has_bio, orgs=['alltheplaces', 'osm-americana'",2026-06-28
daniel d beck,ddbeck,confirm,auto,"corroborated: has_bio, orgs=['writethedocs'], flw=230",2026-06-28
albert astals cid,albert-astals-cid-kdab,confirm,auto,single cand + signals: company=@KDAB,2026-06-28
